Tweet_count,Username,Text,Created At,Retweets,Likes,Hashtags,Image URL,Category
677,Idriss J. Aberkane Ph.D x3,"""Make America Healthy Again""

L'auteur de l'ouvrage dévastateur The Real Anthony Fauci passe aujourd'hui devant le Sénat pour devenir le Ministre de la Santé de la première puissance économique mondiale

On fait le point sur cette révolution copernicienne avec @raoult_didier en https://t.co/x5EmjevbOd",Wed Jan 29 11:29:40 +0000 2025,667,1892,,https://pbs.twimg.com/media/GidRb8AXcAArOU9.jpg,healthy
678,Yann Decoopman,"Ça fait 15 piges que c'est ce qui fonctionne, 30 liens à 10€ &gt; 1 lien à 300€

Mais vous pensez que le netlinking doit être ""équilibré"" comme l'alimentation par paresse intellectuelle et déficit de tests",Tue Jan 28 20:55:59 +0000 2025,5,38,,N/A,mix
679,US Expertise,"RFK Jr. plaisante sur l’amour de Trump pour McDonald’s en discutant de nutrition :
🗣️ “Si vous aimez les cheeseburgers McDo, comme mon boss, vous devriez pouvoir en manger… mais connaître les impacts sur votre santé.”
➡️ Rires dans la salle du Sénat. #Politique #Trump #Nutrition",Wed Jan 29 16:00:14 +0000 2025,3,19,"Politique, Trump, Nutrition",N/A,healthy
680,Préfet de La Réunion,"Fermeture administrative d’un restaurant dans l’arrondissement Nord de La Réunion.  Un contrôle réalisé par la Direction de l’alimentation, de l’agriculture et de la forêt a permis de constater de graves manquements aux règles essentielles et impératives d’hygiène. https://t.co/m5ROBQn9XB",Wed Jan 29 13:28:11 +0000 2025,16,67,,https://pbs.twimg.com/media/GidskqXbkAA4MBL.png,mix
681,US Expertise,"Audition RFK:
➡️ Crapo interroge Kennedy sur son engagement pour la prévention des maladies par la nutrition.
➡️ Kennedy évoque la hausse des maladies chroniques et de l'autisme.
🗣️ “C’est une question morale et spirituelle. Nous sacrifions une génération.” #Politique #Santé",Wed Jan 29 15:58:25 +0000 2025,5,15,"Politique, Santé",N/A,healthy
682,WFP Mali,"Une bonne #nutrition est la🔑d'un développement sain pour la mère et l'enfant🤱pendant la grossesse &amp; l’allaitement. 
✨Parce qu’investir dans la nutrition, c'est investir dans l'avenir, l’appui des donateurs est crucial pour maintenir l’assistance 🍫alimentaire &amp; nutritionnelle. https://t.co/AXrhUwGQGO",Tue Jan 28 13:30:01 +0000 2025,2,9,nutrition,https://pbs.twimg.com/media/GfJhFovXUAAhbCF.jpg,healthy
683,Agent bien peigné,C’est une pointure dans le domaine de l’alimentation et des mythes de la doxa là-dessus. A découvrir.,Tue Jan 28 20:42:15 +0000 2025,6,15,,N/A,mix
684,WFP Mali,"#Tombouctou🇲🇱 @WFP_Mali et ses partenaires luttent contre la malnutrition en :
☑️distribuant des suppléments nutritionnels🍫, ☑️sensibilisant les mères sur les bonnes pratiques d'alimentation &amp; 
☑️soignant des enfants malnutris, soit 
👉14 444👶de 0-59 mois &amp;
👉1879🤰🤱soutenus. https://t.co/vFDEzmbIHm",Tue Jan 28 14:05:21 +0000 2025,5,14,Tombouctou,https://pbs.twimg.com/media/GiYpkeTXcAEhYvi.jpg,healthy
685,Nao,"Un piège à baleines d'Eden se nourrissant

En 2011, des chercheurs ont découvert une nouvelle méthode d'alimentation : les baleines restent immobiles à la surface de l'eau, la bouche ouverte, permettant à des proies comme le hareng et le krill de nager.

Puis elles ferment la https://t.co/BmPWbgQsEJ",Tue Jan 28 09:02:48 +0000 2025,6,122,,N/A,mix
686,YEUS NANA 🦋✨,"Ça me termine tout le monde fait des e book 😭. Personne a aucun diplôme mais ça fait des ebook alimentation, e book sport  et j’en passe",Tue Jan 28 11:35:25 +0000 2025,6,13,,N/A,healthy
687,🅰ntoine VAYER 📸🖋️,"CANCER 🦀 ! Simon Yates n'est jamais fatigué  grâce aux ""progrès"" de nutrition et ses 120 g/heure de carb systématiques. Dinguerie. Cancers du pancréas en vue  ! Rappel : L' Anses recommande de ne pas consommer plus de 100 g de sucres par jour
https://t.co/DBzinsDy3r",Tue Jan 28 17:27:48 +0000 2025,2,13,,N/A,healthy
688,Guillaume Gomez,"Merci à Nathalie Delattre, Ministre du tourisme, d’être venue à la rencontre des professionnels de l’alimentation et de la gastronomie lors du Sirha Lyon. La pertinence des échanges, le temps partagé et la connaissance du secteur ont été très apprécié. #nathaliedelattre #sirha https://t.co/K4IRElPZfG",Tue Jan 28 06:52:40 +0000 2025,6,24,"nathaliedelattre, sirha",https://pbs.twimg.com/media/GiXIdz7WIAA2wlv.jpg,mix
689,Alain Schuhl,"Prédire la sensibilité de chacun à un agent émulsifiant grâce à un simple échantillon de selles

https://t.co/wPune9cXpc Une découverte qui ouvre la voie à une nutrition personnalisée fondée sur le microbiote intestinal et ainsi se maintenir en bonne santé.

@CNRSbiologie @CNRS https://t.co/MbI2tdfxz9",Tue Jan 28 06:41:00 +0000 2025,5,5,,https://pbs.twimg.com/media/GiT3yrFW4AAi0Hx.png,healthy
690,Casta Réveille la France sur Europe 2,"Vous aussi, vos amis vous ont déjà lâché pour un resto bien plus gras après que vous ayez choisi l’option healthy ? 😅🍕 https://t.co/6F6sgyott3",Tue Jan 28 08:26:08 +0000 2025,2,1,,N/A,healthy
691,Yves St. Valéry ✨,"Demain soir, dans le cadre du #MARDIMEDICAL, nous recevrons le Dr ENYEGUE Eva 🧑🏽‍⚕️, résidente en pédiatrie, pour être éduqué sur L’ALIMENTATION DU BÉBÉ ! 

Max de partages ‼️ https://t.co/P66DUIAtxX",Mon Jan 27 17:59:58 +0000 2025,25,32,MARDIMEDICAL,https://pbs.twimg.com/media/GiUXoM2WwAAcCCs.jpg,mix
692,Le Monde de Léo,"L'IA peut regarder vos #radios du genou et savoir si vous buvez de la #bière... et c'est un peu inquiétant.

https://t.co/XN2dnZGy2E",Tue Jan 28 08:00:35 +0000 2025,3,14,"radios, bière",N/A,mix
693,Sciences et Avenir,"Le chlorate est un sous-produit du chlore et provient des désinfectants utilisés dans le traitement de l'eau. 
Pensez à vérifier les codes de production en-dessous de la canette ou sur l'étiquette de la bouteille ! #CocaCola 
👉 https://t.co/ghLuZu1SHU https://t.co/A6wp19vcnt",Tue Jan 28 11:05:09 +0000 2025,15,16,CocaCola,https://pbs.twimg.com/media/GiYCSCEXMAAZ70N.jpg,mix
694,CNEWS,Excès d'acide urique : voici les 14 aliments à éviter absolument https://t.co/nxda2LIk5w,Tue Jan 28 16:09:44 +0000 2025,5,9,,N/A,mix
695,BFMTV,"Attention, ces tranches de porc vendues chez Carrefour, Auchan et Système U contiennent des corps métalliques
https://t.co/JkKLdDBWZM https://t.co/2Ubt1Cl2ri",Tue Jan 28 10:03:25 +0000 2025,5,7,,https://pbs.twimg.com/media/GiX0J20WcAA68rk.jpg,mix
696,NO PLASTIC IN MY SEA,Les bouteilles d’eau minérale françaises largement contaminées par les microplastiques https://t.co/rMlVacZBqI,Tue Jan 28 09:55:47 +0000 2025,4,7,,N/A,mix
